sid,name,season,basin,start_time,end_time,n_fixes,peak_vmax_kt,min_pmin_hpa,peak_category,made_landfall,had_ri,mean_label_spread_kt,featured_slug
2013305N07141,Unnamed,2013,bay_of_bengal,2013-11-06 09:00:00,2013-11-21 00:00:00,117,27.900000000000002,1000.0,D,True,0.0,3.0974193548387112,
2013310N06066,Unnamed,2013,arabian_sea,2013-11-06 03:00:00,2013-11-12 00:00:00,48,30.69,998.0,DD,True,0.0,4.974400000000004,
2013281N12098,Phailin,2013,bay_of_bengal,2013-10-07 12:00:00,2013-10-14 06:00:00,55,115.0,940.0,ESCS,True,1.0,10.476818181818187,
2013232N22088,Unnamed,2013,land,2013-08-20 00:00:00,2013-08-23 00:00:00,25,25.0,990.0,D,True,0.0,,
2013211N21088,Unnamed,2013,land,2013-07-30 03:00:00,2013-08-01 00:00:00,16,25.0,990.0,D,True,0.0,,
2013149N21090,Unnamed,2013,land,2013-05-29 03:00:00,2013-05-31 09:00:00,19,25.0,990.0,D,True,0.0,,
2013130N04093,Mahasen:Viyaru,2013,bay_of_bengal,2013-05-09 18:00:00,2013-05-16 18:00:00,57,45.0,990.0,CS,True,0.0,2.8800000000000012,
2012357N09064,Unnamed,2012,arabian_sea,2012-12-22 06:00:00,2012-12-25 00:00:00,23,32.550000000000004,996.0,DD,False,0.0,2.2346666666666692,
2012321N14090,Unnamed,2012,bay_of_bengal,2012-11-16 00:00:00,2012-11-23 06:00:00,59,30.0,1002.0,DD,True,0.0,2.548421052631581,
2012301N11087,Nilam,2012,bay_of_bengal,2012-10-27 09:00:00,2012-11-01 18:00:00,44,45.0,987.0,CS,True,0.0,4.764193548387097,
2012297N11067,Murjan,2012,arabian_sea,2012-10-22 15:00:00,2012-10-26 00:00:00,28,40.0,998.0,CS,True,0.0,4.63153846153846,
2012285N21091,Unnamed,2012,bay_of_bengal,2012-10-10 12:00:00,2012-10-11 03:00:00,6,30.0,1002.0,DD,True,,,
2011360N09088,Thane,2011,bay_of_bengal,2011-12-25 12:00:00,2011-12-30 12:00:00,41,75.0,969.0,VSCS,True,1.0,8.636829268292683,
2011330N06078,Unnamed,2011,arabian_sea,2011-11-25 12:00:00,2011-12-01 06:00:00,47,30.0,998.0,DD,False,0.0,2.1982926829268306,
2011310N11066,Unnamed,2011,arabian_sea,2011-11-06 06:00:00,2011-11-11 03:00:00,40,30.0,1000.0,DD,False,0.0,2.14409090909091,
2011302N13062,Keila,2011,arabian_sea,2011-10-29 06:00:00,2011-11-05 06:00:00,57,35.0,996.0,CS,True,0.0,9.014615384615386,
2011290N15090,Unnamed,2011,bay_of_bengal,2011-10-18 03:00:00,2011-10-18 21:00:00,7,30.69,998.0,DD,False,,,
2011203N24085,Unnamed,2011,land,2011-07-22 03:00:00,2011-07-23 00:00:00,8,20.0,990.0,D,True,,,
